ID,Curso,Descricao,Competencias provaveis
1420,Fundamentos Jurídicos de Regulação e Infraestrutura,"Conheça os fundamentos da regulação pública, além de supervisão e boas práticas de gestão estratégica, com foco no aprimoramento da relação entre os setores público e privado para o desenvolvimento sustentável e eficiente da infraestrutura. Curso gratuito, com certificado, destinado a servidores públicos de todas as esferas e a qualquer pessoa interessada no tema.","['gestão pública', 'políticas públicas', 'gestão de serviços públicos', 'accountability pública']"
653,Gestão de Casos de Violência Baseada no Gênero,"Neste curso, você aprenderá sobre padrões mínimos de resposta, gestão de casos, atuação intersetorial e atendimento humanizado para apoiar, sem causar danos, pessoas em situação de violência de gênero. Quer saber mais? Inscreva-se.",['atendimento ao cidadão']
1404,Financiamento para o Desenvolvimento Urbano Integrado no Brasil,"Neste curso, você irá aprender a identificar fontes de recursos e elaborar estratégias de financiamento para cidades mais sustentáveis, inclusivas e resilientes. Quer saber mais? Inscreva-se!",['desenvolvimento sustentável']
947,Finanças Públicas e Estatísticas Fiscais,"Conheça os conceitos essenciais de finanças públicas de forma clara e prática. Nesse curso, você terá uma introdução abrangente dos fundamentos das finanças públicas, explorando conceitos, principais estatísticas e sua aplicação no Brasil. Aprenda a avaliar criticamente esses indicadores, interpretar seu impacto na administração pública e aplicá-los a situações práticas de gestão. Um curso pensado para ampliar seus conhecimentos e sua atuação no setor público!","['gestão pública', 'finanças públicas', 'auditoria governamental', 'políticas públicas']"
1430,Jornada da Diversidade: Inclusão em Ação,"Curso voltado a profissionais do setor público, com foco na promoção da diversidade, equidade e inclusão. Com módulos sobre raça e etnia, pessoas com deficiência, gênero, LGBTQIAPN+ e gerações, oferece conceitos e orientações práticas para a construção de ambientes de trabalho mais inclusivos.",['diversidade e inclusão']
1405,Contratação de serviços de publicidade na administração pública,"Neste curso, você vai entender como funcionam os serviços de publicidade, o objeto da licitação, as normas aplicáveis, as fases do processo e outros pontos essenciais para se manter atualizado e preparado. Quer saber mais? Inscreva-se!",[]
1034,Marco Legal das Startups - Gerenciando Contratos Públicos para Solução Inovadora,"Aprenda a testar e aprimorar soluções inovadoras contratadas via CPSI. Com base em casos reais, este curso guiará você pelas etapas do desenvolvimento de produtos inovadores, abordando passos essenciais e desafios. Da contratação ao fornecimento, explore ferramentas e estratégias práticas em design, tecnologia, comunicação e planejamento para garantir o sucesso do seu produto.","['gestão de projetos', 'gestão de processos', 'metodologias ativas', 'design instrucional']"
682,Uso de Dados Raciais Aplicado às Políticas Públicas: Básico,"Neste curso, você aprenderá conceitos e técnicas de coleta e análise de dados públicos com recorte nas evidências de desigualdades raciais para produção de indicadores de políticas públicas de ação afirmativa do Estado brasileiro. Nível básico, gratuito e com certificado, aberto a qualquer pessoa interessada no tema.",[]
1422,FluêncIA Estudantes,"Explore como a IA pode apoiar seus estudos e sua trajetória profissional. Aprenda a usar ferramentas inteligentes para organizar tarefas, melhorar a escrita, estudar com mais eficiência e se preparar para oportunidades acadêmicas e de carreira.",['metodologias ativas']
1371,"Direito, Meio Ambiente, Emergência Climática, Desastres e Unidades de Conservação","Este curso aborda temas como: meio ambiente, mudanças climáticas, sociobiodiversidade e direito. Você vai entender como esses temas se conectam e como aplicar os princípios do SNUC e as normas do ICMBio na gestão de unidades de conservação. Ideal para quem quer atuar com responsabilidade socioambiental!","['desenvolvimento sustentável', 'governança ambiental']"
1196,A atuação da Segurança Pública nas ocorrências de trabalho escravo,"Este curso aborda o tema do trabalho escravo, explorando seu conceito segundo normativas e perspectiva histórica. Abordará o sistema de erradicação com base na Política Nacional de Erradicação do Trabalho Escravo, a responsabilização dos perpetradores, a visão da vítima e o papel dos agentes da Segurança Pública nessa política. Inscreva-se!",[]
1419,FluêncIA Educadores,"Aprenda a aplicar IA na educação de forma prática e acessível. Descubra como usar ferramentas inteligentes para planejar aulas, personalizar o ensino, criar materiais didáticos e otimizar tarefas administrativas, promovendo inovação e inclusão em ambientes educacionais.","['design instrucional', 'ensino híbrido', 'aprendizado contínuo']"
1039,Como Produzir Cursos à Distância com Inteligência Artificial Generativa,"Neste curso, você entenderá os conceitos fundamentais da Inteligência Artificial Generativa. Explorará como essa tecnologia pode criar uma série de recursos a partir de texto, discutindo suas possibilidades e desafios. Além disso, aprenderá como construir prompts eficazes e analisará o impacto da IA na construção de cursos à distância, focando em questões éticas e qualidade de conteúdo.",['inteligência artificial']
1416,Identificação e Caracterização de Áreas Irregulares de Interesse Social,"Neste curso, você irá aprender sobre identificação e caracterização de áreas irregulares de interesse social, para atenuar o panorama de informalidades das cidades. Dessa forma, visa instrumentalizar as diferentes pessoas e entidades envolvidas no processo de Regularização Fundiária Urbana (Reurb) em todo território nacional, de modo a contribuir para a implementação das políticas públicas.","['gestão pública', 'administração pública', 'políticas públicas', 'gestão de cidades inteligentes', 'atendimento ao cidadão', 'participação social']"
1414,Empregabilidade com o Copilot,"Aprenda a usar ferramentas de IA para criar currículos atrativos, simular entrevistas, buscar vagas e desenvolver habilidades digitais. Voltado para quem deseja se destacar no mercado com apoio da tecnologia. Quer saber mais? Inscreva-se!",['inteligência artificial']
1417,Gestão de Equipes para Chefes de Unidades de Execução do PGD,"Este curso tem como objetivo orientar gestores a liderar suas equipes com eficiência no âmbito do Programa de Gestão e Desempenho (Decreto nº 11.072/2022), combinando técnicas de gestão baseada em evidências, monitoramento de entregas e fortalecimento da colaboração para melhorar o serviço prestado. Com abordagem prática e adaptável, ferramentas aplicáveis e alinhamento às diretrizes do PGD, a formação é ideal para transformar desafios em resultados, elevando o clima organizacional e o cumprimento de metas. Potencialize sua liderança!","['gestão de projetos', 'gestão de processos', 'liderança', 'gestão de equipes', 'metodologias ativas', 'avaliação de desempenho']"
1400,FluêncIA Empreendedores,"Neste curso, você verá como impulsionar a produtividade em pequenas e médias empresas por meio da utilização de inteligência artificial, com diversas demonstrações práticas do uso do Copilot e aplicativos do Office 365. O curso oferece exemplos reais de aplicação da IA em situações empresariais, mostrando como essas tecnologias podem trazer benefícios perceptíveis. Quer saber mais? Inscreva-se!",['inteligência artificial']
1415,Neurodiversidade com Foco em Transtorno do Espectro Autista,"Neste curso, você vai conhecer a neurodiversidade no trabalho, com foco no Transtorno do Espectro Autista (TEA). Vamos refletir sobre acolhimento, superação de estigmas e práticas inclusivas. Com linguagem clara e recursos de aprendizagem, apresentamos conceitos e estratégias aplicáveis nas organizações públicas. Inscreva-se!",[]
1413,Questões práticas aplicadas ao procedimento e projeto de Regularização Fundiária Urbana,"Neste curso, você irá aprender sobre questões práticas aplicadas ao procedimento e projeto de Regularização Fundiária Urbana, para atenuar o panorama de informalidades das cidades. Dessa forma, visa instrumentalizar as diferentes pessoas e entidades envolvidas no processo em todo território nacional, de modo a contribuir para a implementação das políticas públicas.","['gestão de projetos', 'gestão pública', 'administração pública', 'políticas públicas', 'gestão de cidades inteligentes', 'atendimento ao cidadão', 'gestão de serviços públicos']"
1412,Planos de Adaptação: do monitoramento à comunicação de resultados,"Aprenda como elencar diferentes tipos de medidas que podem ser adotadas para minimizar os riscos e impactos evidenciados no território. Conheça a adaptação baseada em ecossistemas (AbE) e como propor medidas para a igualdade de gênero, os direitos humanos e a justiça climática. Veja como eleger medidas e priorizá-las. Quer saber mais? Inscreva-se!",[]
1410,Planos de Adaptação: da governança à análise do risco,"Saiba como iniciar a aplicação do ciclo de planejamento da adaptação à mudança do clima. A formação de uma governança que envolva diferentes níveis de governo, setores e agentes, a aplicação da lente climática (que auxilia a definir os objetivos do plano, reconhecendo como a mudança do clima já afeta ou pode afetar o território) e a análise de risco são os três passos abordados neste curso.",['planejamento estratégico']
1411,Planos de Adaptação: da identificação à implementação de medidas,"Neste curso, você aprenderá a identificar diferentes tipos de medidas para minimizar riscos e impactos em territórios. Vai conhecer a abordagem da adaptação baseada em ecossistemas (AbE) e entender como propor ações que promovam igualdade de gênero, direitos humanos e justiça climática. Também verá como planejar a implementação das medidas de adaptação escolhidas.",['adaptabilidade']
1042,Ouvidorias Públicas no Enfrentamento ao Racismo,"O enfrentamento ao racismo tem se colocado como uma pauta estratégica para as instituições, considerando seu impacto para a ambiência e relação com seu público-alvo. Este curso pretende formar agentes públicos capazes de tratar adequadamente as denúncias de racismo e discriminação racial no âmbito das ouvidorias. Inscreva-se já!","['políticas públicas', 'accountability pública']"
1399,Planos de Adaptação: dados espaciais e indicadores para análise territorial,"Neste curso, veremos como dados espaciais e indicadores podem ser utilizados para realizar diagnósticos e prognósticos relacionados à adaptação e como usar ferramentas de visualização para analisar o contexto do seu município ou região. Quer saber mais? Inscreva-se!",[]
