ID,Curso,Status,Link,Conteudista,Horas
1420,Fundamentos Jurídicos de Regulação e Infraestrutura,Novo,https://www.escolavirtual.gov.br/curso/1420,Secretaria de Competitividade e Política Regulatória (SCPR/MDIC),20h
653,Gestão de Casos de Violência Baseada no Gênero,Novo,https://www.escolavirtual.gov.br/curso/653,Fundo de População das Nações Unidas - UNFPA,20h
1404,Financiamento para o Desenvolvimento Urbano Integrado no Brasil,Novo,https://www.escolavirtual.gov.br/curso/1404,Ministério das Cidades,12h
947,Finanças Públicas e Estatísticas Fiscais,Novo,https://www.escolavirtual.gov.br/curso/947,Enap - Escola Nacional de Administração Pública,40h
1430,Jornada da Diversidade: Inclusão em Ação,Novo,https://www.escolavirtual.gov.br/curso/1430,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,6h
1405,Contratação de serviços de publicidade na administração pública,Novo,https://www.escolavirtual.gov.br/curso/1405,Controladoria Geral da União,30h
1034,Marco Legal das Startups - Gerenciando Contratos Públicos para Solução Inovadora,Novo,https://www.escolavirtual.gov.br/curso/1034,Enap - Escola Nacional de Administração Pública,25h
682,Uso de Dados Raciais Aplicado às Políticas Públicas: Básico,Novo,https://www.escolavirtual.gov.br/curso/682,Ministério da Igualdade Racial (MIR),20h
1422,FluêncIA Estudantes,Novo,https://www.escolavirtual.gov.br/curso/1422,Microsoft,2h
1371,"Direito, Meio Ambiente, Emergência Climática, Desastres e Unidades de Conservação",Novo,https://www.escolavirtual.gov.br/curso/1371,Instituto Chico Mendes de Conservação da Biodiversidade,35h
1196,A atuação da Segurança Pública nas ocorrências de trabalho escravo,Novo,https://www.escolavirtual.gov.br/curso/1196,Ministério dos Direitos Humanos e Cidadania,30h
1419,FluêncIA Educadores,Novo,https://www.escolavirtual.gov.br/curso/1419,Microsoft,3h
1039,Como Produzir Cursos à Distância com Inteligência Artificial Generativa,Novo,https://www.escolavirtual.gov.br/curso/1039,Enap - Escola Nacional de Administração Pública,25h
1416,Identificação e Caracterização de Áreas Irregulares de Interesse Social,Novo,https://www.escolavirtual.gov.br/curso/1416,Ministério das Cidades,20h
1414,Empregabilidade com o Copilot,Novo,https://www.escolavirtual.gov.br/curso/1414,Microsoft,2h
